Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Market Volatility,Liquidity,Manual Intervention,Counterparty Failure Rate,Client ID,Trade Type_Sell,Instrument Type_Derivative,Instrument Type_Equity,Settlement Status_Success,Currency_GBP,Currency_INR,Currency_JPY,Currency_USD,Settlement Type_FoP,ISIN_INE0000014,ISIN_INE000002E,ISIN_INE0000032,ISIN_INE000004J,ISIN_INE0000051,ISIN_INE000006Z,ISIN_INE0000071,ISIN_INE000008Y,ISIN_INE000009S,ISIN_INE0000107,ISIN_INE000011Z,ISIN_INE0000124,ISIN_INE000013O,ISIN_INE000014L,ISIN_INE000015P,ISIN_INE000016P,ISIN_INE000017R,ISIN_INE0000189,ISIN_INE000019P,ISIN_INE000020B,ISIN_INE000021E,ISIN_INE000022Z,ISIN_INE000023Y,ISIN_INE000024W,ISIN_INE0000251,ISIN_INE0000260,ISIN_INE0000272,ISIN_INE000028Z,ISIN_INE000029O,ISIN_INE000030B,ISIN_INE000031V,ISIN_INE000032R,ISIN_INE0000330,ISIN_INE000034S,ISIN_INE000035W,ISIN_INE0000367,ISIN_INE000037F,ISIN_INE000038N,ISIN_INE000039A,ISIN_INE0000402,ISIN_INE0000419,ISIN_INE000042K,ISIN_INE0000432,ISIN_INE0000440,ISIN_INE000045U,ISIN_INE000046I,ISIN_INE0000472,ISIN_INE0000487,ISIN_INE000049P,Trade Matched or Not_Not Matched
135443.20199613398,48379,40,0.5007996680673624,7,0.5760902889500318,0.0665609676836358,0,0.07,30,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3454612.9004505896,62520,3,0.6268839130453578,9,0.6865109220523016,0.0715552969641704,0,0.09,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469447.9765493695,24637,21,0.935958727055864,2,0.5346622119414505,0.0929625606497584,0,0.02,45,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928309.0764932028,94287,45,0.4355269602543046,2,0.247581346122702,0.0499402259015313,0,0.02,46,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834949.976579811,11591,20,0.5441463322690663,9,0.6378914618611011,0.0117569845373206,0,0.09,30,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603395.6979269915,97988,9,0.8170317248194343,5,0.5759336593428407,0.0991081003159335,1,0.05,18,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291787.88034740766,93891,41,0.9143115469951152,6,0.3695856529056047,0.050911998829092,0,0.06,31,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
256830.32865720536,19991,36,0.9712039091461504,2,0.4435405967542035,0.0187850462503684,1,0.02,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58653.73293241229,6670,14,0.9203805374212664,7,0.5331533095993806,0.0593725693293099,1,0.07,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
510013.8367125061,16774,18,0.8297244985304884,0,0.1747124268761129,0.0631182858085897,0,0.0,43,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597423.1510091133,15649,33,0.9338862998894756,2,0.656190362476185,0.0607900075131685,0,0.02,49,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421750.9081948432,70153,2,0.3933159531309039,4,0.6924664673442937,0.0968426137922554,0,0.04,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510640.8930004236,9868,37,0.7957789515382737,0,0.2983194792125438,0.0387671889454917,0,0.0,10,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132400.89285046395,65789,31,0.1805569571034992,9,0.5290509830159581,0.0131061813935069,0,0.09,28,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329704.7005578189,98019,22,0.4771982757645316,1,0.3527828350313849,0.0927777014110783,1,0.01,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230993.8131438513,73589,46,0.3195188366238806,5,0.1166410878969896,0.0272114712086369,0,0.05,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860273.7363242022,85087,9,0.8170317248194343,5,0.6752301301149798,0.0774504442291215,0,0.05,34,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460922.10046668176,42675,20,0.5441463322690663,9,0.1853930343495576,0.0283608714878856,0,0.09,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233324.94175606337,99000,20,0.5441463322690663,9,0.14496611080863,0.0846077903662625,1,0.09,28,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377018.3411197189,59438,47,0.1125702605334206,4,0.602313509160614,0.0915744286171806,1,0.04,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156447.4303583262,87844,1,0.3219901641477122,1,0.1203205076807922,0.0194821034089265,0,0.01,18,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318642.4392951871,43533,30,0.4733665008272618,1,0.5127322266886581,0.0232547091009409,0,0.01,16,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
792293.3246853412,7866,19,0.1397604323852656,4,0.658045632232279,0.0932759878940033,1,0.04,43,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116740.07094532784,50658,36,0.9712039091461504,2,0.3437119703392702,0.0793633963733476,0,0.02,41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416167.6226527818,44629,14,0.9203805374212664,7,0.1410108778884145,0.0135007185026837,1,0.07,33,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208994.89111487597,12706,1,0.3219901641477122,1,0.2309754820466785,0.026397954385392,0,0.01,39,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116823.36108218184,46058,5,0.9406873501792972,3,0.668994468417564,0.0470868594676079,0,0.03,37,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2857031.193113612,31787,10,0.2154923503961088,2,0.379231622748989,0.0877778519899755,0,0.02,41,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1550013.2201655076,64384,9,0.8170317248194343,5,0.4248159952797032,0.0235951811148207,0,0.05,49,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243272.30128291927,65180,49,0.6546585821204131,0,0.1936366625565299,0.0751726129927833,0,0.0,17,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331118.2705145644,37423,14,0.9203805374212664,7,0.6508101394971184,0.0175342902742218,0,0.07,33,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58556.89887108719,78755,39,0.0435392427721895,1,0.4102782153867775,0.052045207431632,0,0.01,31,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89995.30617624517,44238,18,0.8297244985304884,0,0.4173163850464233,0.0756094655951423,0,0.0,45,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143196.2853628284,89810,42,0.4348414251877188,9,0.4456283482406747,0.0158242085537312,0,0.09,5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427801.689466631,50451,25,0.3385906728657937,0,0.5604250458042269,0.0283814845717661,0,0.0,39,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
394462.1570112365,29793,36,0.9712039091461504,2,0.2217717955638923,0.0812628170890993,0,0.02,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616443.4973045734,76979,31,0.1805569571034992,9,0.6653977283326693,0.0247166699315766,0,0.09,20,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
872054.8995162656,81044,46,0.3195188366238806,5,0.2052430191080176,0.0700782152798223,0,0.05,36,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584206.2018713308,63872,35,0.743150447472931,9,0.2184490017766611,0.0677968018424017,0,0.09,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150030.23989181014,75993,27,0.7850003988642136,9,0.1074449065377692,0.0568354370160584,0,0.09,13,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611716.0200158178,60198,22,0.4771982757645316,1,0.1118105327778567,0.0281539486142184,0,0.01,34,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
835137.6255747826,11900,11,0.137820328184938,0,0.3573049835005827,0.0475246150695668,0,0.0,13,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288579.9409516945,32245,10,0.2154923503961088,2,0.2097830494844419,0.0659591302700371,1,0.02,41,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69813.19709078326,65180,8,0.743202127706376,7,0.2271410797355408,0.0893551846352425,0,0.07,45,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445649.2093271266,23585,41,0.9143115469951152,6,0.6927570025780113,0.0818069631354896,0,0.06,15,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
483262.1550475852,11021,28,0.1035876220302661,2,0.6575884228115927,0.0646610189205506,1,0.02,21,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27643.924578763363,32984,23,0.5289328616701832,1,0.2934720922916266,0.0305623860223266,0,0.01,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506935.316593814,14252,6,0.9815946822364658,9,0.3058946786134217,0.029502942688464,1,0.09,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
274097.03935890674,71781,14,0.9203805374212664,7,0.2752590218546723,0.0832498536710515,0,0.07,36,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5070871.15969798,32948,24,0.7858609257173637,6,0.6293386432138358,0.0697979891240106,1,0.06,49,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
