Trade Value,Trade Volume,Counterparty ID,Counterparty Risk Score,Counterparty Failures,Market Volatility,Liquidity,Manual Intervention,Counterparty Failure Rate,Client ID,Trade Type_Sell,Instrument Type_Derivative,Instrument Type_Equity,Settlement Status_Success,Currency_GBP,Currency_INR,Currency_JPY,Currency_USD,Settlement Type_FoP,ISIN_INE000001N,ISIN_INE000002R,ISIN_INE000003U,ISIN_INE000004E,ISIN_INE000005F,ISIN_INE0000062,ISIN_INE0000077,ISIN_INE000008A,ISIN_INE000009Z,ISIN_INE000010T,ISIN_INE000011H,ISIN_INE000012L,ISIN_INE0000131,ISIN_INE000014X,ISIN_INE000015I,ISIN_INE000016C,ISIN_INE0000176,ISIN_INE000018D,ISIN_INE000019H,ISIN_INE0000201,ISIN_INE000021M,ISIN_INE000022P,ISIN_INE000023W,ISIN_INE000024D,ISIN_INE000025H,ISIN_INE000026S,ISIN_INE0000276,ISIN_INE000028L,ISIN_INE000029O,ISIN_INE000030F,ISIN_INE000031G,ISIN_INE0000324,ISIN_INE000033Q,ISIN_INE000034W,ISIN_INE000035W,ISIN_INE0000367,ISIN_INE000037C,ISIN_INE0000385,ISIN_INE000039C,ISIN_INE000040F,ISIN_INE000041Y,ISIN_INE000042J,ISIN_INE000043S,ISIN_INE000044J,ISIN_INE000045O,ISIN_INE0000461,ISIN_INE000047I,ISIN_INE0000487,ISIN_INE000049X,Trade Matched or Not_Not Matched
189466.82780909637,40069,7,0.807663815694622,4,0.3253088697198633,0.0402106662320667,0,0.04,38,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1164753.989526809,12460,44,0.5050516298435593,4,0.3961784445702783,0.0143837482141179,0,0.04,22,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
370616.86885727575,86642,33,0.8660015302588003,4,0.344508001290147,0.0760406374894919,0,0.04,29,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
511548.51154426846,85001,48,0.63949267500548,2,0.3931916070699797,0.0415189837676679,1,0.02,35,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305641.3266508047,32555,35,0.379101906166488,5,0.1097951186008605,0.0404998929131757,1,0.05,44,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559976.8654673372,70314,27,0.6312643360108433,1,0.5892757175847849,0.074426646417985,0,0.01,46,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2353045.864490339,76969,1,0.5595464687447742,3,0.2993848071676862,0.0389834074963053,0,0.03,27,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302816.15688268555,14272,6,0.2811692814520472,1,0.5346770586556862,0.0206211433791722,0,0.01,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256659.0028218496,3802,2,0.528598412166966,5,0.138932077228679,0.0464059226715044,0,0.05,41,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
192884.037438678,72594,7,0.807663815694622,4,0.4142951514988547,0.084145963559395,0,0.04,28,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
416806.82761319744,26512,8,0.4580355543297814,2,0.6452751832424424,0.0217184039205814,1,0.02,21,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412007.28892070753,73047,45,0.4298551235309282,2,0.3389488213022125,0.0599032698187453,0,0.02,10,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
465768.0370463221,73636,29,0.802379629296882,7,0.2183554060504183,0.0219033364549342,0,0.07,38,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706625.343249341,80730,16,0.5644857362881444,0,0.1594486942690583,0.0144264563595533,0,0.0,29,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
622916.7162473361,55234,29,0.802379629296882,7,0.6154527780928555,0.0440838797108763,0,0.07,20,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
432560.9492156397,20012,31,0.5307641115114377,4,0.2432837364157704,0.0692094984697238,0,0.04,38,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3121429.313043731,62964,22,0.0426218097329669,1,0.6850426668991907,0.0347488599876647,0,0.01,7,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882646.698078409,48901,10,0.3433373620149397,1,0.2486936699967446,0.0501158032963675,1,0.01,33,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148856.80121836485,20765,4,0.1325675388626581,0,0.3885945974456799,0.054219783226881,1,0.0,13,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94352.96862236378,51695,25,0.9558246666166372,5,0.3747964790795002,0.0857161253207706,0,0.05,17,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220653.94079297577,69987,13,0.7983389952728493,5,0.1372057716199044,0.0837081287564816,0,0.05,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515379.2828051373,80086,17,0.2267478263411722,0,0.4191036518904687,0.010211248886583,1,0.0,16,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202906.45601920396,6961,40,0.6932955822197459,1,0.5035845878131222,0.0472527094797252,1,0.01,7,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236185.4912578519,16584,8,0.4580355543297814,2,0.5452813979747311,0.0690481928764017,1,0.02,40,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454097.4213961306,72533,23,0.3665587852726458,7,0.4135550537865574,0.0867156553505434,0,0.07,41,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
314276.1512953617,84104,7,0.807663815694622,4,0.5875510990728116,0.0144008004986013,0,0.04,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57085.148045636335,14202,32,0.0880240291902269,9,0.5512585011063503,0.0665423486569824,0,0.09,12,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299092.534754424,70580,24,0.8444898901272938,8,0.2163845872523325,0.0857817547809503,1,0.08,14,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029884.1631362102,60020,1,0.5595464687447742,3,0.3409610091391041,0.0329568418525036,0,0.03,44,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122379.13167664853,20421,47,0.9876433189920628,5,0.1855491107252264,0.0284730698229991,1,0.05,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
468312.5058778862,40603,47,0.9876433189920628,5,0.1800541922625528,0.0521064448845942,0,0.05,49,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144849.1984770334,52646,36,0.3257946597608051,6,0.527276412773927,0.0966321623596188,0,0.06,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240675.16016899096,53125,27,0.6312643360108433,1,0.4182754794265509,0.0723597755057159,0,0.01,6,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719385.7132979141,49032,6,0.2811692814520472,1,0.4605698850868615,0.0482036541824542,0,0.01,20,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994551.4568843892,12630,42,0.9145745363262048,2,0.5393105699635534,0.011877651994975,0,0.02,47,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971545.0702385824,57732,31,0.5307641115114377,4,0.266340959297048,0.0601053277094095,0,0.04,49,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565145.898428064,28676,12,0.5484973411052225,5,0.3408171751915934,0.0413909201617224,0,0.05,24,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1583591.1987214095,1663,26,0.3456545989617245,0,0.4640818533901725,0.0267142277937732,1,0.0,27,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240250.71444163565,80271,25,0.9558246666166372,5,0.1579773888510167,0.0550133291982005,0,0.05,5,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299949.92898068565,7590,4,0.1325675388626581,0,0.5998324487171542,0.0407244370570484,1,0.0,44,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33036.626428758405,49365,6,0.2811692814520472,1,0.3060697745133256,0.0134852214512735,0,0.01,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403101.4241802328,4656,46,0.2952161956928347,6,0.4952517904209037,0.0752955418208501,0,0.06,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789925.142825563,74286,13,0.7983389952728493,5,0.6973389411140895,0.0759324627966254,0,0.05,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588457.2801737195,10798,25,0.9558246666166372,5,0.3852174672263893,0.0656948304782853,1,0.05,44,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237038.92490969977,97467,31,0.5307641115114377,4,0.2290290695734593,0.0856738588146608,0,0.04,10,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029440.0857335548,6646,22,0.0426218097329669,1,0.2298600392691087,0.0282863389402905,0,0.01,25,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410926.33655453473,77432,35,0.379101906166488,5,0.1362257297115882,0.0357581396452717,0,0.05,39,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952101.2965086992,34763,21,0.6951924448155898,3,0.5602493805978761,0.0512790204588998,0,0.03,33,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
719383.3639685118,47635,15,0.1970856464850323,2,0.2760588040552164,0.0154157665588461,0,0.02,9,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1838588.9472732088,21433,3,0.5896501279000154,5,0.2036354575216494,0.089519120191735,0,0.05,43,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621172.0418518533,47891,37,0.0028565028171824,9,0.528217620289313,0.0541565747115863,0,0.09,41,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814184.8217300327,82395,45,0.4298551235309282,2,0.2854819848484805,0.0392196918049705,0,0.02,49,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409741.9749973303,59112,26,0.3456545989617245,0,0.4602813685986333,0.0530167102626726,0,0.0,31,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267562.87111846247,73770,47,0.9876433189920628,5,0.3506957283012033,0.0392616839562614,0,0.05,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722687.519287841,43612,17,0.2267478263411722,0,0.300491637807862,0.0357637078389416,1,0.0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988180.978543248,97541,38,0.568106663090961,6,0.3936577573233758,0.0503216595331331,0,0.06,28,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238976.225740583,26672,35,0.379101906166488,5,0.2882759436233183,0.0533714205146561,0,0.05,10,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345194.626320676,36761,41,0.4525900255395507,9,0.6223389514855102,0.0490010854035049,0,0.09,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454362.417597978,93978,8,0.4580355543297814,2,0.1438241826550744,0.0593137857885578,0,0.02,34,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877556.2281575677,28234,11,0.5263535094101535,0,0.1180921749681427,0.0805041102056366,0,0.0,7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624969.4096046567,37592,24,0.8444898901272938,8,0.3438358164301116,0.0151541372498213,0,0.08,34,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102469.42824249,67805,43,0.8158163007651189,4,0.2037061809933894,0.0830366817951241,0,0.04,43,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3184830.016795147,91757,8,0.4580355543297814,2,0.546235873013725,0.0305680953120563,1,0.02,30,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233537.67450996055,50092,30,0.14179104142905,8,0.3120603464338874,0.032688362490136,0,0.08,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
